account_id,r,rd
1003810911,1719.5677425229455,291.31970577846187
1278386891,1731.9528987324127,291.82322046817893
1674311132,1817.9438607370826,268.46836977429564
1124446711,1580.6975740700373,227.32978769310066
1052045710,1581.7188127548027,162.30946903331557
205630113,1471.8267311631414,105.2357008513121
173842160,1672.389505538742,149.14863008324411
180775030,1452.8921321342598,169.43878602821965
99796146,1677.0186469599187,149.26532488127717
395770377,1570.164903064464,189.20859754986776
196481318,1446.752088804043,130.3200549854439
1425096765,1581.636299690611,227.9081813665317
166022498,1581.636299690611,227.9081813665317
1172841956,1581.636299690611,227.9081813665317
115016104,1581.636299690611,227.9081813665317
1171343619,1581.636299690611,227.9081813665317
1529785023,1418.363700309389,227.9081813665317
166379664,1418.363700309389,227.9081813665317
1673265021,1418.363700309389,227.9081813665317
1067399931,1418.363700309389,227.9081813665317
1265642916,1418.363700309389,227.9081813665317
92706637,1332.0065220070464,193.92679351685138
79648574,1540.6711730093482,148.17446059928614
1296625,1332.0065220070464,193.92679351685138
94364925,1332.0065220070464,193.92679351685138
192120253,1332.0065220070464,193.92679351685138
241519559,1840.2757155437585,114.23540772973183
155332459,1623.9242753991498,104.66821704745942
308163407,1692.9721575854442,122.49382464555131
1683752803,1614.2156248008826,192.3704796192726
821484609,1377.7292168187957,142.74629832324288
278599060,1373.0357847712914,141.84055100705697
1131665504,1290.0295752945094,264.0900117240548
288144026,1389.930504196758,159.82664093272973
125845797,1422.6767663451326,133.36773665323315
349342480,1254.1157847304285,180.67474503692142
102652420,1035.4636207411888,213.14105180559886
242885483,1393.6897135677425,159.26137058857697
145372258,1409.8217782399413,147.94349033097603
283629288,1124.8620654161057,202.17976355746998
197574429,1393.6897135677425,159.26137058857697
338769995,1296.7368047314894,263.21908020978384
291231492,1841.1422552136055,249.61836044469925
411573732,1841.1422552136055,249.61836044469925
344926830,1841.1422552136055,249.61836044469925
74319201,1841.1422552136055,249.61836044469925
162935642,1841.1422552136055,249.61836044469925
1109020527,1504.9425176594114,230.97283492101226
166808107,1750.4314286543147,256.29624785348346
1264519871,1504.9425176594114,230.97283492101226
1275491519,1504.9425176594114,230.97283492101226
